Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
sample260,0.0012930345806037,0,0.00247612062172539,0.657699157307149,0,0.030097037926848,0,0.00612909126778334,0.030813343018298,0,0.140828404292947,0.0631774128252197,0.0517477855438483,0.00022089645472221,0,0.0147201046611691,0,0,0.000797611499685979,0,0,0,0,0.705700315457929,0.716451590135074
sample261,0,0.0419752686628618,0.0456201917998665,0.124562624534297,0.179345649919275,0,0.0392274577170976,0,0,0,0.00168869834658557,0.00609417037186236,0.382596680981305,0,0,0.129431744512883,0,0.0201266270403214,0.0275027596075382,0,0.00182812650610765,0,0,0.654377850283807,0.778654813940775
sample262,0.114245231960154,0.279601300775225,0.0265994868226016,0.0753187470040222,0.13518455894141,0.104466365766217,0,0,0.037576812900034,0,0,0.0261436803671265,0.129567085322462,0,0,0.0349744210105382,0,0.0213402307987964,0.0149820783314137,0,0,0,0,0.687296366223281,0.737832544003181
sample263,0,0.0376545396959109,0.0111098909986454,0.140736736845823,0.313190696940202,0.23641473294234,0.0318551759918788,0,0.0152993745563423,0,0,0.0504977580858752,0.0908849377007219,0,0,0.0392064922518804,0,0.00244467435011529,0.0302691932382569,0,0.000435796402007303,0,0,0.708488873296798,0.711461193116396
sample264,0,0.0564839013848537,0.0605259213277404,0.132065698940531,0.0897626077595258,0.130095651191449,0,0,0.0157213129690065,0,0.0253787932844023,0.0357500230105735,0.316558886492348,0,0,0.082833763640067,0,0.0289495087913319,0.0258739312081701,0,0,0,0,0.638351690600255,0.789575932433786
sample265,0.00547508932016525,0.0376460299213433,0.0254696774778067,0.216932707300942,0.250367500481628,0,0,0,0.0383143967271245,0,0,0.000314618158091072,0.301445481635376,0,0,0.0936923826452536,0,0.00802789416636494,0.0111942681239632,0,0.0111199540419413,0,0,0.675982872345933,0.755522293801642
sample266,0.00323309693018031,0.0223355540606736,0,0.47738229078244,0,0.0530723501048056,0,0.00258896983089606,0.0470515106345338,0,0.0630458534335017,0.0938623002403956,0.175042099631562,0,0,0.0338785067857969,0,0.00941802901556902,0.0159551708967738,0,0.00313426765287158,0,0,0.66982936184998,0.743582670150963
sample267,0,0.015907912346092,0.00312528222082747,0.301972513526481,0,0.369182071276427,0,0,0.00428312919742329,0.0531241466893307,0,0.113675694146394,0.0757094775720703,0.0164931125995305,0,0.000553519692342169,0,0,0.0459731407330819,0,0,0,0,0.668082740204778,0.743683190577589
sample268,0.123996412978049,0.214806888619629,0.0366004171908943,0.22469615185591,0.153909422182369,0,0,0,0.0366563885444996,0,0,0.0510173144276869,0.0932234881285592,0.00450424375151661,0,0.0327544628362325,0,0.00750294864734296,0.0203318608373112,0,0,0,0,0.730918106155568,0.702941782558173
sample269,0,0.00628433173618646,0.00203014143266258,0.320674551867123,0.264702025341616,0.258294642749451,0,0,0,0,0,0.0807384561583311,0.0233121345950313,0.0154969020671955,0,0,0,0,0.0284668140524037,0,0,0,0,0.807723348104862,0.594369514186325
sample270,0.185732396997939,0.146820518994938,0.0523455757728713,0.0386546920223261,0,0.29756197420596,0.0249880780808099,0,0,0.049484295489371,0,0.0297679714532304,0.0605566789314537,0,0,0.0733828463393871,0,0.0103032525480576,0.0297520079010881,0,0.000649711262568819,0,0,0.685833416810951,0.742647686786199
sample271,0.0232544634905967,0.00425501750137151,0.0143373254440908,0.463340401914321,0,0,0.0617788428982486,0.00414125310855266,0.0739396322410395,0,0.0847318059205616,0.103310146956914,0.0375345739065725,0,0.00637766637622064,0.0387441644577147,0.0129847588438582,0,0.0699793003191834,0,0,0.00129064662075442,0,0.696593735946025,0.719151008646657
sample272,0,0.0271025771927523,0.00334940045162605,0.207351926272791,0.309306317142258,0.15146766641716,0,0,0.0122644140201781,0,0,0.0500524416443858,0.18796661214613,0,0,0.0106668579601453,0,0.0185610831812086,0.021910703571365,0,0,0,0,0.754988117062117,0.6736650069474
sample273,0.042648218521511,0.278966071681513,0.0226110530729035,0.0398052337529386,0,0.201888564331963,0,0,0,0.0686162962895829,0,0.0243562556369508,0.159090256691445,0,0,0.108027576141073,0,0.0218999155716335,0.0257465495259743,0,0.00634400878251146,0,0,0.54803219860814,0.838007789015946
