	b cell	cd4-positive, alpha-beta t cell	cd8-positive, alpha-beta t cell	conventional dendritic cell	monocyte	natural killer cell	plasmacytoid dendritic cell	platelet
226	0.08199547	0.14160484	0.022689564	0.09332572	0.16166395	0.31565386	0.14453371	0.03853285
227	0.120635	0.095519364	0.032026365	0.058085762	0.21134989	0.15961382	0.25956315	0.06320665
228	0.07456634	0.4992861	0.07683496	0.088167794	0.05014374	0.053261533	0.10144629	0.056293227
229	0.059975654	0.1749177	0.1934849	0.059318874	0.15885572	0.13484097	0.08034311	0.13826314
230	0.07147643	0.07133995	0.29610208	0.3038425	0.040958304	0.08312731	0.06622994	0.066923484
231	0.16937727	0.0902959	0.2695808	0.06179027	0.09028629	0.049179316	0.14171992	0.12777025
232	0.1710777	0.1607459	0.11098923	0.25032225	0.1578063	0.05111985	0.045863632	0.05207517
233	0.028906219	0.16657625	0.36082652	0.09992508	0.040061593	0.11299015	0.15329286	0.037421305
234	0.20199303	0.07168405	0.07756924	0.13916658	0.14588231	0.033209052	0.2662832	0.06421258
235	0.032493755	0.2471982	0.12672585	0.09935136	0.10846151	0.01659043	0.095178306	0.27400059
236	0.11413926	0.19009565	0.29009143	0.09315407	0.008914216	0.14116006	0.13781913	0.024626173
237	0.1379552	0.11766834	0.19009878	0.10442508	0.14122035	0.05855514	0.1461387	0.103938475
238	0.071071915	0.0621022	0.25184613	0.3669046	0.05416674	0.060623344	0.07884112	0.054444015
239	0.1023551	0.13205263	0.048958264	0.14447261	0.19689511	0.06842827	0.0913848	0.21545327
240	0.16087875	0.14371368	0.20716214	0.16796713	0.034278132	0.13206613	0.0922655	0.061668612
241	0.13430095	0.0847382	0.2891001	0.01714844	0.040634196	0.2072612	0.17263126	0.054185644
242	0.047546208	0.24421072	0.25062904	0.10356558	0.025711011	0.05392062	0.26079515	0.013621769
243	0.28011125	0.2297053	0.18245104	0.032053612	0.06742312	0.08051106	0.07792311	0.049821492
244	0.27162918	0.09596425	0.13582231	0.22261913	0.12327338	0.07924142	0.030625967	0.040824294
245	0.0697398	0.11474282	0.11165296	0.12912956	0.106247835	0.078473054	0.17187697	0.21813695
246	0.08136773	0.14268258	0.04356999	0.047384825	0.24859637	0.10890709	0.16475825	0.16273324
247	0.07324498	0.24096023	0.13129415	0.04645013	0.17019019	0.08812763	0.12697227	0.1227604
248	0.0750159	0.16476086	0.136206	0.12030303	0.121283084	0.14671686	0.13900568	0.096708566
249	0.13319279	0.21202947	0.24618945	0.04069164	0.118031	0.12752748	0.08371379	0.03862447
250	0.11553931	0.15981758	0.041481044	0.04499096	0.22562313	0.30116537	0.09131351	0.020069174
251	0.038494352	0.1573935	0.11864262	0.21352047	0.039676894	0.15855907	0.13705531	0.13665785
252	0.14343412	0.08079239	0.13284095	0.23025405	0.16992337	0.051933277	0.1391019	0.051719856
253	0.21912493	0.058912482	0.13028432	0.16507263	0.069226064	0.15118852	0.10950223	0.09668881
254	0.25856	0.019328153	0.16146532	0.23920424	0.07343708	0.0863229	0.11238733	0.04929487
255	0.17883183	0.1440483	0.10750008	0.06216597	0.21298821	0.14166415	0.06253791	0.090263516
256	0.11195863	0.088320084	0.14166534	0.09690335	0.17253882	0.12681012	0.12374014	0.13806352
257	0.2881845	0.11005962	0.059370674	0.047065094	0.31426555	0.09439364	0.06766854	0.018992381
258	0.2558255	0.16240986	0.12297534	0.10015691	0.0861096	0.11158826	0.11786491	0.043069627
259	0.06395621	0.069610074	0.114224166	0.085643716	0.068613246	0.2038545	0.29184347	0.10225462
260	0.27834702	0.08112859	0.18791267	0.020322938	0.20461053	0.055682853	0.07242077	0.09957465
261	0.18114519	0.08847965	0.2099504	0.071419634	0.10029197	0.069954894	0.16768	0.11107826
262	0.13499613	0.07500827	0.022509044	0.098843075	0.25173458	0.31272018	0.095667645	0.008521058
263	0.16175814	0.11037314	0.14643106	0.10331045	0.13686949	0.10494658	0.074554026	0.1617571
264	0.04725966	0.12795854	0.17757356	0.10639276	0.07040423	0.093142465	0.22627625	0.15099253
265	0.04678989	0.29399848	0.06240327	0.16170281	0.06373699	0.06709629	0.26305175	0.041220516
266	0.08748134	0.15300356	0.23264314	0.15979347	0.088107444	0.047810122	0.14382225	0.08733875
267	0.21084678	0.11592774	0.19670738	0.1229655	0.07143809	0.07325862	0.052859973	0.15599588
268	0.03865211	0.22352722	0.17969349	0.18662345	0.22138937	0.04271359	0.0538214	0.05357933
269	0.2815352	0.20249231	0.07786174	0.1572352	0.02702308	0.16127788	0.030082537	0.06249201
270	0.028664429	0.18442485	0.11066173	0.072361544	0.16516858	0.22737244	0.13310544	0.07824108
271	0.27395624	0.054322172	0.21329316	0.16651869	0.1118806	0.09812418	0.03748979	0.044415087
